Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price,Max Price,Modal Price,date,Min Price_scaled,Max Price_scaled,Modal Price_scaled
786,Ariyalur,Andimadom,Maize,Other,FAQ,1710.0,1725.0,1715.0,2018-10-12,0.5451680672268907,0.4867424242424243,0.5100806451612903
1699,Ariyalur,Andimadom,Maize,Other,FAQ,1790.0,1800.0,1795.0,2021-07-06,0.578781512605042,0.5151515151515151,0.5423387096774193
456,Ariyalur,Andimadom,Maize,Other,FAQ,2100.0,2120.0,2110.0,2022-08-17,0.7090336134453782,0.6363636363636364,0.6693548387096775
3248,Ariyalur,Andimadom,Maize,Other,FAQ,2190.0,2200.0,2195.0,2022-09-06,0.7468487394957983,0.6666666666666667,0.7036290322580645
1492,Ariyalur,Andimadom,Maize,Other,FAQ,1900.0,2300.0,2000.0,2022-09-15,0.625,0.7045454545454546,0.625
1604,Ariyalur,Andimadom,Maize,Other,FAQ,1950.0,1970.0,1965.0,2022-09-27,0.6460084033613446,0.5795454545454546,0.6108870967741935
1493,Ariyalur,Andimadom,Maize,Other,FAQ,1970.0,1980.0,1975.0,2022-10-07,0.6544117647058824,0.5833333333333334,0.6149193548387097
455,Ariyalur,Andimadom,Maize,Other,FAQ,1800.0,2205.0,2000.0,2023-04-19,0.582983193277311,0.6685606060606061,0.625
1602,Ariyalur,Andimadom,Maize,Other,FAQ,1900.0,2169.0,2000.0,2023-04-20,0.625,0.6549242424242424,0.625
194,Ariyalur,Andimadom,Maize,Other,FAQ,1900.0,2069.0,2029.0,2023-04-21,0.625,0.6170454545454546,0.6366935483870968
674,Ariyalur,Andimadom,Maize,Other,FAQ,1850.0,2000.0,1965.0,2023-04-26,0.6039915966386554,0.5909090909090909,0.6108870967741935
887,Ariyalur,Andimadom,Maize,Other,FAQ,1750.0,1980.0,1965.0,2023-05-22,0.5619747899159664,0.5833333333333334,0.6108870967741935
3244,Ariyalur,Andimadom,Maize,Other,FAQ,1850.0,1965.0,1900.0,2023-05-30,0.6039915966386554,0.5776515151515151,0.5846774193548387
1491,Ariyalur,Andimadom,Maize,Other,FAQ,1700.0,1829.0,1780.0,2023-06-05,0.5409663865546218,0.5261363636363636,0.5362903225806452
73,Ariyalur,Andimadom,Maize,Other,FAQ,1750.0,1829.0,1790.0,2023-06-21,0.5619747899159664,0.5261363636363636,0.5403225806451613
1601,Ariyalur,Andimadom,Maize,Other,FAQ,1600.0,1769.0,1700.0,2023-06-26,0.4989495798319328,0.5034090909090909,0.504032258064516
1434,Ariyalur,Andimadom,Maize,Other,FAQ,1860.0,1910.0,1890.0,2023-07-10,0.6081932773109243,0.5568181818181819,0.5806451612903225
3247,Ariyalur,Andimadom,Maize,Other,FAQ,2145.0,2146.0,2146.0,2023-07-11,0.7279411764705882,0.6462121212121212,0.6838709677419355
1603,Ariyalur,Andimadom,Maize,Other,FAQ,1905.0,2106.0,2106.0,2023-07-12,0.6271008403361344,0.6310606060606061,0.667741935483871
